loan_amnt,emp_length,annual_inc,verification_status,dti,delinq_2yrs,inq_last_6mths,mths_since_last_delinq,mths_since_last_record,open_acc,pub_rec,revol_bal,revol_util,total_acc,mort_acc,pub_rec_bankruptcies,term,int_rate,grade,sub_grade,home_ownership,purpose,addr_state,initial_list_status,application_type,policy_code,loan_amnt_norm,emp_length_norm,dti_norm,revol_util_norm,int_rate_norm,delinq_ratio,inq_ratio,revol_bal_norm,credit_history_strength,default
13734.364040810324,3.936355202774421,87255.34732400574,Source Verified,12.022555404478862,5,9,1.1311536261484623,23.620352703067237,29,7,44778.81709166898,8.74605060646908,3,6,2,60 months,17.830929472947354,E,C5,RENT,major_purchase,GA,f,Joint App,1,0.1574042676125102,0.3936355202774421,0.12022555404478862,0.0874605060646908,0.17830929472947354,1.25,2.25,0.5131928124174621,3.4681776013872105,1
33324.28641793715,4.734356593750214,79924.17732165259,Verified,31.892978536010016,6,4,86.6488775635668,16.81256942491721,29,1,46514.585544887355,12.319256536720546,43,0,3,60 months,10.064568752446359,D,C4,OWN,home_improvement,IL,f,Individual,2,0.41694875736818043,0.4734356593750214,0.31892978536010014,0.12319256536720546,0.1006456875244636,0.13636363636363635,0.09090909090909091,0.5819839140500718,23.867178296875107,0
25887.79402158777,8.545473932021803,51707.70425051481,Verified,26.919292290945926,5,7,52.3525487055993,49.353527643203265,24,5,24062.263870143976,38.71832830482752,26,6,3,36 months,19.41333160088596,F,B4,OWN,debt_consolidation,NY,w,Individual,2,0.5006564185515938,0.8545473932021803,0.26919292290945923,0.3871832830482752,0.1941333160088596,0.18518518518518517,0.25925925925925924,0.46535161865950386,17.272736966010903,0
21354.388462699244,3.400043860598921,129308.00061826783,Source Verified,17.448350568904925,9,3,98.36533374820884,73.66839888607119,10,5,95488.0820382587,73.56242607348324,10,8,3,60 months,22.132080846075016,D,G1,RENT,credit_card,PA,f,Individual,2,0.16514359792585354,0.34000438605989214,0.17448350568904925,0.7356242607348323,0.22132080846075017,0.8181818181818182,0.2727272727272727,0.7384545548743775,6.70002193029946,0
6304.633775042842,8.696496848121713,105792.34889155319,Not Verified,10.250144567773418,1,4,38.50356949037468,22.246482603787086,18,6,49271.49916416136,60.46219370753468,2,3,4,36 months,21.249001137042832,D,G4,MORTGAGE,credit_card,PA,f,Joint App,2,0.059594420968057595,0.8696496848121713,0.10250144567773418,0.6046219370753468,0.21249001137042833,0.3333333333333333,1.3333333333333333,0.46573783152001985,5.3482484240608565,0
6303.81369143089,0.8813443097669149,175826.17861832067,Not Verified,2.370911470719088,8,8,95.68730069894703,90.95373129917057,23,8,52489.18636403362,45.79594903317334,27,1,3,36 months,16.062812324707345,F,A2,MORTGAGE,small_business,IL,w,Joint App,2,0.0358525319777043,0.08813443097669149,0.023709114707190882,0.45795949033173344,0.16062812324707346,0.2857142857142857,0.2857142857142857,0.29852884693567683,13.940672154883458,0
2974.8428137187816,7.767984372086307,25779.724486770487,Source Verified,13.500223137898901,2,1,61.50572634725594,16.82276387506668,23,0,59857.889213549286,99.27458909376996,10,3,0,60 months,24.232978014005727,A,A1,RENT,debt_consolidation,PA,w,Individual,1,0.11539467053829054,0.7767984372086307,0.135002231378989,0.9927458909376996,0.24232978014005727,0.18181818181818182,0.09090909090909091,2.3218979413169007,8.883992186043153,0
30449.988956347795,8.475476330547364,135896.22695992276,Not Verified,18.400790710189984,5,1,51.22050718368634,55.841157646421415,26,9,88695.24390588391,18.579328315494127,2,1,3,36 months,12.988060269783517,F,G4,RENT,other,GA,f,Individual,2,0.22406794976970054,0.8475476330547365,0.18400790710189985,0.18579328315494126,0.12988060269783516,1.6666666666666667,0.3333333333333333,0.6526689216474059,5.237738165273682,0
21437.910399269098,1.8181765283733875,157330.798132081,Not Verified,27.48095352284821,5,5,30.28096031797474,77.6383258536333,29,7,53330.96842561509,82.17567949239464,35,9,2,36 months,16.731923360403748,E,E3,OTHER,other,IL,f,Individual,2,0.13626010071640093,0.18181765283733875,0.2748095352284821,0.8217567949239464,0.16731923360403747,0.1388888888888889,0.1388888888888889,0.33897348172633773,18.409088264186693,0
25074.467645065546,4.303465323722005,156707.58245389527,Not Verified,25.83887819785724,7,5,82.52763412727408,21.338848268893962,2,4,54096.57645403234,12.383695089809388,2,6,1,60 months,11.75387220659521,C,A1,OTHER,other,CA,f,Individual,1,0.16000800505261237,0.4303465323722005,0.2583887819785724,0.12383695089809388,0.1175387220659521,2.3333333333333335,1.6666666666666667,0.34520714063053093,3.1517326618610024,1
1699.8728060572832,1.6549977466365562,179493.31407719452,Source Verified,37.893796117275116,3,2,82.87947463711231,29.644444696772045,9,5,24019.333509286935,17.960702627636138,24,5,4,36 months,20.090714751641443,E,G3,RENT,small_business,NY,w,Joint App,1,0.009470396236186382,0.16549977466365562,0.37893796117275114,0.17960702627636138,0.20090714751641442,0.12,0.08,0.1338174273107296,12.827498873318278,0
33976.93497350781,7.066041289942177,151226.07370930893,Verified,4.015836762114442,5,8,41.692953220351136,5.14842488332855,15,7,60281.71913431709,29.54442655735138,11,1,2,36 months,16.0176758312155,D,C1,OWN,other,NC,w,Individual,1,0.22467643403094126,0.7066041289942178,0.04015836762114442,0.2954442655735138,0.160176758312155,0.4166666666666667,0.6666666666666666,0.39861987854152936,9.033020644971089,0
29303.04978721434,5.353477680616567,187005.81109658533,Verified,13.453604915165457,0,0,72.72931419439783,94.39483968603064,29,7,38114.95315875365,87.3095718869864,11,5,0,36 months,10.42781866373883,E,B4,RENT,credit_card,GA,f,Joint App,2,0.1566959316150866,0.5353477680616567,0.13453604915165457,0.873095718869864,0.10427818663738829,0.0,0.0,0.20381694523422014,8.176738840308284,0
8219.52976306139,6.353233467083211,79878.18796776046,Verified,19.263123277475934,8,2,44.723793577827195,48.69721933773362,29,6,64678.149584526334,44.42057292196272,48,8,3,60 months,12.704623871522738,C,B2,OTHER,debt_consolidation,FL,f,Joint App,1,0.10290080398892955,0.635323346708321,0.19263123277475935,0.44420572921962725,0.12704623871522738,0.16326530612244897,0.04081632653061224,0.8097097747213671,27.176616733541607,0
7182.048885041421,1.9648696695621115,110577.69501527776,Verified,26.82783175415957,8,7,73.96592944666763,6.430617505369707,27,6,30074.635652914905,39.57854112951061,31,7,4,60 months,11.986701921181412,F,E4,RENT,home_improvement,CA,f,Joint App,1,0.06495024954218052,0.19648696695621115,0.2682783175415957,0.39578541129510614,0.11986701921181413,0.25,0.21875,0.27197741505427203,16.482434834781056,0
7235.75333501675,2.117458620524195,22534.339390920322,Verified,19.818067657656254,6,7,99.4190156718625,83.01268131689851,25,0,71572.83697393596,49.07257912874725,39,8,4,60 months,27.77281799135832,F,B3,MORTGAGE,major_purchase,GA,f,Individual,1,0.32109897740921683,0.21174586205241952,0.19818067657656255,0.4907257912874725,0.2777281799135832,0.15,0.175,3.1761675251405213,20.5587293102621,0
11344.236260624282,0.4149732550990637,21252.36571459242,Not Verified,36.510329277869545,0,3,26.249631376411166,56.93441590496388,2,7,61890.27844561924,63.09063320743511,9,4,4,36 months,18.048856886145877,F,A2,OTHER,other,CA,w,Joint App,2,0.5337869869628227,0.04149732550990637,0.36510329277869547,0.6309063320743511,0.18048856886145878,0.0,0.3,2.9121594874082084,4.707486627549532,0
18841.718675496086,3.220675351957297,63222.79168127358,Not Verified,24.34689382399254,2,7,63.4052457179731,5.528471753846853,23,2,47448.39725261665,42.349416802908436,47,9,2,60 months,21.316395961553944,E,B1,MORTGAGE,debt_consolidation,NC,w,Joint App,2,0.29802098538266464,0.3220675351957297,0.2434689382399254,0.42349416802908435,0.21316395961553944,0.041666666666666664,0.14583333333333334,0.7504951298547409,25.11033767597865,0
15686.130633831935,5.59744661333675,38145.29548503534,Not Verified,1.5866163876486095,4,9,37.98779651065634,45.08965706146897,18,4,9667.243373102174,96.25316884946324,18,1,1,36 months,28.368344342546347,G,C2,OTHER,small_business,MI,w,Individual,1,0.41122058262691163,0.559744661333675,0.015866163876486095,0.9625316884946323,0.2836834434254635,0.21052631578947367,0.47368421052631576,0.25343212708614876,11.798723306668375,0
10901.790766733426,8.579349139973289,66838.04622843565,Source Verified,4.5462387626453715,3,7,54.83715636485032,43.44030426365766,19,3,62696.81612612399,13.534190984304617,46,4,1,60 months,9.555444881725071,G,D4,OTHER,debt_consolidation,NC,f,Joint App,2,0.16310756196364334,0.8579349139973289,0.045462387626453715,0.13534190984304617,0.09555444881725071,0.06382978723404255,0.14893617021276595,0.9380408265053414,27.289674569986644,0
